"id","name","pricerange","rangename","video","description","facebookpage","website","twitterpage","logo",
"1","Nike","1","Very Low","https://www.youtube.com/watch?v=9hRNFgSLLAQ","ddd","facebook","website","twpage","download_(2).png",
"2","Woodland","2","Low","https://www.youtube.com/watch?v=9hRNFgSLLAQ","","","","","Woodland-Logo1.jpeg",
"3","Adidas","3","Moderate","https://www.youtube.com/watch?v=9hRNFgSLLAQ","a","fb","web","tw","download1.png",
"38","Pepe Jeans","0","","","","","","","download_(1).png",
"42","Cygnus","0","","","","","","","images1.jpg",
"43","Cinepolis","0","","","","","","","download.jpg",
"44","Michael Kors","0","","","","","","","download_(1).jpg",
"45","Holii","0","","","","","","","download_(2).jpg",
"46","Sunglass Hut","0","","","","","","","images_(1).jpg",
"47","Van Heusen","0","","","","","","","download_(3).jpg",
"48","Zuni","0","","","","","","","download_(4).jpg",
"49","Smaaash","0","","","","","","","download_(5).jpg",
"50","Ruff","0","","","","","","","images_(2).jpg",
"51","Mothercare","0","","","","","","","images2.jpg",
"52","Mom and Me","0","","","","","","","download1.jpg",
"53","Vero Moda","0","","","","","","","download_(1)1.jpg",
"54","Reebok","0","","","","","","","download_(2)1.jpg",
"55","Hidesign","0","","","","","","","download_(3)1.jpg",
"56","109 F","0","","","","","www.109f.com","","",
"57","Aarya 24kt","0","","","","","http://aarya-24kt.com/","","",
"58","Accessorize","0","","","","","uk.accessorize.com","","",
"59","Adamis","0","","","","","www.adamis.in","","",
"60","Add Ons","0","","","","","http://addonsonline.com/","","",
"61","Adidas","0","","","","","www.adidas.co.in","","",
"62","Adidas Original","0","","","","","www.adidas.co.in","","",
"63","Afton","0","","","","","www.healthclubindia.com","","",
"64","Aldo","0","","","","","www.aldoshoes.com","","",
"65","All - The Plus size store","0","","","","","www.pantaloonretail.in","","",
"66","Allen Solly","0","","","","","www.allensolly.com","","",
"67","Amber and Shirrin","0","","","","","www.aandsthestore.com","","",
"68","AND","0","","","","","www.andindia.com/","","",
"69","Anita Dongre","0","","","","","www.anitadongre.com","","",
"70","Anita Dongre Bridal Timeless","0","","","","","www.anitadongre.com","","",
"71","Archies","0","","","","","www.archiesonline.com","","",
"72","Armani Jeans","0","","","","","www.armani.com/in/armanijeans","","",
"73","Aroma Thai","0","","","","","www.aromathai.net","","",
"74","Aroma Thai","0","","","","","http://aromathai.net/","","",
"75","Arrow","0","","","","","www.arrowlife.com","","",
"76","Ashika, Ashika","0","","","","","www.ashika.com","","",
"77","Aspen","0","","","","","www.lifestylestores.com","","",
"78","Avirate","0","","","","","http://aviratefashion.co.in","","",
"79","Ayesha","0","","","","","www.ayeshaaccessories.com","","",
"80","Baggit","0","","","","","www.baggit.com","","",
"81","Bagzone","0","","","","","www.bagzone.com","","",
"82","Bally","0","","","","","www.bally.com","","",
"83","Balzo","0","","","","","www.balzo.in","","",
"84","Barbie","0","","","","","www.barbiestore.in","","",
"85","Basecamp Traveller","0","","","","","www.basecamp.in","","",
"86","Basics & Genesis","0","","","","","http://www.basicslife.com/","","",
"87","Basics Life","0","","","","","www.basicslife.com","","",
"88","Bata","0","","","","","www.bata.com","","",
"89","Beauty Corner","0","","","","","","","",
"90","Bebe","0","","","","","www.bebe.com","","",
"91","Being Human","0","","","","","www.beinghumanfoundation.in","","",
"92","Beverly Hills Polo Club","0","","","","","","","",
"93","Bhandare Eye Care","0","","","","","www.bhandareopticians.com","","",
"94","Bharat & Dorris","0","","","","","www.bharatdorris.com","","",
"95","Biba","0","","","","","www.bibaindia.com","","",
"96","Big Bazaar","0","","","","","www.bigbazzar.com","","",
"97","Black Soul","0","","","","","www.blacksoul.in","","",
"98","Blackberry's","0","","","","","www.blackberrys.in","","",
"99","Blue Tonic","0","","","","","www.bluetonic.in","","",
"100","Blur","0","","","","","www.blur-fashion.com/","","",
"101","Boardriders","0","","","","","http://www.quiksilver.in/qs/","","",
"102","Bodhi Thai Spa","0","","","","","www.bodhigroup.in","","",
"103","Boggi Milano","0","","","","","shop.boggi.com","","",
"104","Bombay High","0","","","","","www.bombayhighfashions.com","","",
"105","Bonjour","0","","","","","www.bonjourproducts.com","","",
"106","Bottega Veneta","0","","","","","www.bottegaveneta.com","","",
"107","Boulevard","0","","","","","www.boulevards.com","","",
"108","Bracialeto","0","","","","","www.bracialeto.com","","",
"109","Bulchee","0","","","","","www.bulchee.com","","",
"110","Burberry","0","","","","","www.burberry.com","","",
"111","BYSI","0","","","","","www.bysi.com","","",
"112","Calonge","0","","","","","www.calonge-group.com","","",
"113","Calvin Klein","0","","","","","www.calvinklein.com/?","","",
"114","Calvin Klein Jeans","0","","","","","www.calvinklein.com","","",
"115","Canali","0","","","","","www.canali.com","","",
"116","CARBON","0","","","","","www.foreverjewel.com/carbon.htm","","",
"117","Catwalk","0","","","","","catwalk.co.in","","",
"118","Celio","0","","","","","http://brand.celio.com/en/","","",
"119","Central","0","","","","","www.futuregroup.in","","",
"120","Chanel","0","","","","","www.chanel.com","","",
"121","Charles & Keith","0","","","","","www.charleskeith.com","","",
"122","Cheemo","0","","","","","www.cheemo.com","","",
"123","Chemistry","0","","","","","www.chemistryindia.com","","",
"124","Chicco","0","","","","","www.chicco.in","","",
"125","Chimp","0","","","","","http://chimpwear.com","","",
"126","Chinar","0","","","","","www.chinarinternational.org","","",
"127","Chumbak","0","","","","","www.chumbak.com","","",
"128","Claire's","0","","","","","www.claires.com","","",
"129","Clarks","0","","","","","www.clarks.in","","",
"130","Clinique","0","","","","","www.clinique.in","","",
"131","Colette","0","","","","","www.colettehayman.com.au/","","",
"132","Color Bar","0","","","","","www.colorbarcosmetics.com","","",
"133","Color Plus","0","","","","","www.colorplusonline.com","","",
"134","Converse","0","","","","","www.converse.com","","",
"135","Cool Wrist Watches","0","","","","","","","",
"136","Cotton Cottage","0","","","","","www.cottoncottageindia.com","","",
"137","Cotton Culture","0","","","","","www.cottonculture.co.in","","",
"138","Cottonworld","0","","","","","www.cottonworld.net","","",
"139","Crabtree & Evelyn","0","","","","","www.crabtree-evelyn.com","","",
"140","Crocs","0","","","","","www.crocsindia.com","","",
"141","Cygnus","0","","","","","www.cygnusjewellery.com/","","",
"142","Cygnus","0","","","","","www.cygnusjewellery.com","","",
"143","Da Milano","0","","","","","www.damilano.com","","",
"144","Daniel Hechter","0","","","","","www.daniel-hechter.com","","",
"145","D'damas","0","","","","","www.ddamas.co.in","","",
"146","Deal Jeans","0","","","","","www.dealjeans.com","","",
"147","Debenhams","0","","","","","www.debenhams.com","","",
"148","Diesel","0","","","","","www.diesel.com","","",
"149","DKNY","0","","","","","www.dkny.com","","",
"150","DKNY Accessories","0","","","","","www.dkny.com/accessories","","",
"151","Drama","0","","","","","http://www.dramasalon.co.in/","","",
"152","ELC","0","","","","","www.elc.com","","",
"153","ELLE","0","","","","","http://www.ellefashionwear.in/","","",
"154","Emporio Armani","0","","","","","www.emporioarmani.com","","",
"155","Enamor","0","","","","","www.enamor.co.in","","",
"156","Enrich","0","","","","","www.enrichsalon.com","","",
"157","Envi Salon","0","","","","","www.envisalon.in","","",
"158","Ermenegildo Zegna","0","","","","","www.zegna.com","","",
"159","Esbeda","0","","","","","www.esbeda.com","","",
"160","Eske","0","","","","","http://www.eske.in/","","",
"161","Espelho","0","","","","","http://www.espelhofashions.com/","","",
"162","Estee Lauder","0","","","","","www.esteelauder.in","","",
"163","Ethnicity","0","","","","","www.facebook.com/Ethnicitystore","","",
"164","Ethos","0","","","","","www.ethoswatches.com","","",
"165","Eyecatchers Salon & The Thai Spa","0","","","","","www.eyecatchers-thethaispa.com","","",
"166","Fab India","0","","","","","www.fabindia.com/?","","",
"167","Fab India","0","","","","","www.fabindia.com","","",
"168","Faces","0","","","","","www.faces-canada.com","","",
"169","FBB","0","","","","","http://www.futuregroup.in/","","",
"170","FCUK","0","","","","","frenchconnection.in","","",
"171","Femme","0","","","","","www.femmeindia.com","","",
"172","Fiddaa","0","","","","","","","",
"173","Fila","0","","","","","www.filaindia.in","","",
"174","Florista","0","","","","","www.florista.in","","",
"175","Flying Machine","0","","","","","www.flyingmachine.co.in","","",
"176","Foresight Opticals","0","","","","","www.foresightoptical.com","","",
"177","Foresight Opticals","0","","","","","www.foresightopticals.in","","",
"178","Forest Essentials","0","","","","","www.forestessentialsindia.com","","",
"179","Forever 21","0","","","","","www.forever21.com/in","","",
"180","Forever New","0","","","","","www.forevernew.co.in","","",
"181","French Connection","0","","","","","www.frenchconnection.in","","",
"182","Furla","0","","","","","www.furla.com","","",
"183","Gangar Eye Nation","0","","","","","www.gangareyenation.com","","",
"184","Gant","0","","","","","www.gant.com","","",
"185","Gas","0","","","","","www.gasjeans.com","","",
"186","Gili","0","","","","","www.gili.com","","",
"187","Gini & Jony","0","","","","","www.giniandjony.com","","",
"188","Giordano","0","","","","","http://www.giordano.in/","","",
"189","Gitanjali Jewels","0","","","","","www.gitanjalijewels.com","","",
"190","Global Desi","0","","","","","www.globaldesi.in","","",
"191","Globus","0","","","","","www.globusstores.com","","",
"192","Go Colours","0","","","","","www.gocolors.co.in","","",
"193","Gossip","0","","","","","www.gossipyouth.com","","",
"194","Gucci","0","","","","","www.gucci.com","","",
"195","Guess","0","","","","","www.guess.com","","",
"196","Guess Accessories","0","","","","","www.guess.com","","",
"197","Guess Collection","0","","","","","www.guess.com","","",
"198","H Ajoomal","0","","","","","www.hajoomal.com","","",
"199","H.M.Mega Brands","0","","","","","www.hmmegabrands.com","","",
"200","Hamley's","0","","","","","www.hamleys.com","","",
"201","Hastkala","0","","","","","","","",
"202","Head Quarters","0","","","","","","","",
"203","Health & Glow","0","","","","","www.healthandglow.in","","",
"204","Heel & Buckle","0","","","","","www.heelandbuckle.com","","",
"205","Helios","0","","","","","www.helioswatchstore.com","","",
"206","Hidesign","0","","","","","www.hidesign.com","","",
"207","Himalaya Health Care","0","","","","","www.himalayahealthcare.com","","",
"208","Holidae","0","","","","","http://www.holidae.in/","","",
"209","Holii","0","","","","","www.holii.in","","",
"210","Hugo Boss","0","","","","","www.hugoboss.com","","",
"211","Hush Puppies","0","","","","","www.hushpuppies.com","","",
"212","I Am In","0","","","","","http://www.hypercityindia.com","","",
"213","I-Leather Graph","0","","","","","www.ileathergraph.com/?","","",
"214","Inc 5","0","","","","","http://www.inc5.co.in","","",
"215","Inc 5","0","","","","","www.inc5.co.in","","",
"216","Indian Terrain","0","","","","","www.indianterrain.com","","",
"217","Indostyle","0","","","","","www.indostyle.co.in","","",
"218","Inglot","0","","","","","inglotcosmetics.com","","",
"219","Izod","0","","","","","izod.com","","",
"220","Jack & Jones","0","","","","","www.jackjonesindia.in/","","",
"221","Jashn","0","","","","","www.jashnonline.com","","",
"222","Jealous 21","0","","","","","www.jealous21.com","","",
"223","Jean Claude Biguine","0","","","","","www.biguineindia.com","","",
"224","Jelmoli","0","","","","","www.jelmoli.ch","","",
"225","Jimmy Choo","0","","","","","http://www.jimmychoo.com/","","",
"226","Jockey","0","","","","","www.jockey.com","","",
"227","Jockey","0","","","","","http://www.jockeyindia.com/","","",
"228","John Player","0","","","","","http://johnplayers.iacampaigns.com/","","",
"229","John Player","0","","","","","johnplayers.iacampaigns.com","","",
"230","John Players","0","","","","","johnplayers.iacampaigns.com","","",
"231","Juice","0","","","","","www.juicesalon.in","","",
"232","Just In Vogue","0","","","","","www.justinvogue.com","","",
"233","Just Watches","0","","","","","http://www.justwatchesindia.com/","","",
"234","Kapil's","0","","","","","http://www.kapilssalon.com/","","",
"235","Karigari","0","","","","","www.karigari.in","","",
"236","Karmik","0","","","","","www.karmik.in","","",
"237","Kaya Skin Clinic","0","","","","","http://www.kayaclinic.com/","","",
"238","Kazo","0","","","","","https://www.kazo.com/","","",
"239","Kazo","0","","","","","http://www.kazo.com/","","",
"240","Kenneth Cole","0","","","","","https://www.kennethcole.com/","","",
"241","Kiah","0","","","","","www.kiahjewels.com","","",
"242","Kiehl's","0","","","","","http://www.kiehlsindia.com","","",
"243","Kraus Jeans","0","","","","","http://krausjeans.com/","","",
"244","L?Oreal","0","","","","","www.loreal.co.in","","",
"245","La Senza","0","","","","","www.lasenza.com","","",
"246","Lacoste","0","","","","","www.lacoste.com","","",
"247","Lamy","0","","","","","http://www.lamyindia.com/","","",
"248","Lancome","0","","","","","http://www.lancome.in/","","",
"249","Landmark","0","","","","","http://www.landmarkonthenet.com/","","",
"250","Latin Quarters","0","","","","","www.latin-quarters.com","","",
"251","Laven","0","","","","","http://www.lavenfashions.com/","","",
"252","Lavie","0","","","","","www.lavieaccessories.com","","",
"253","Lee","0","","","","","www.lee.in","","",
"254","L'effet!","0","","","","","www.leffet.in","","",
"255","Levi's","0","","","","","http://levi.in","","",
"256","Lifestyle","0","","","","","http://lifestylestores.com/","","",
"257","Lifestyle","0","","","","","http://lifestylestores.com","","",
"258","Lifestyle","0","","","","","www.lifestylestores.com","","",
"259","Lifestyle","0","","","","","http://www.lifestylestores.com/","","",
"260","Lilliput","0","","","","","www.lilliputkids.com","","",
"261","L'Occitane","0","","","","","in.loccitane.com","","",
"262","Lord's","0","","","","","https://www.facebook.com/LordsshoesIndia","","",
"263","Louis Philippe","0","","","","","www.louisphilippe.com","","",
"264","Louis Philippe","0","","","","","http://www.louisphilippe.com/","","",
"265","Love from India","0","","","","","www.lovefromindia.com","","",
"266","Luxury Boulevard","0","","","","","","","",
"267","MAC","0","","","","","www.maccosmetics.in","","",
"268","Madame","0","","","","","www.madameonline.com","","",
"269","Mads","0","","","","","http://www.madsfashion.com/","","",
"270","Mahala","0","","","","","","","",
"271","Mahi","0","","","","","http://www.mahijewelry.com/","","",
"272","Malabar Gold","0","","","","","https://www.malabargoldanddiamonds.com","","",
"273","Malaga","0","","","","","http://demo.worldofmalaga.com/default.aspx","","",
"274","Manchester United","0","","","","","http://www.manutd.com/en/indiamegastore","","",
"275","Mango","0","","","","","www.mango.com","","",
"276","Manyavar","0","","","","","www.manyavar.com/?","","",
"277","Manyavar","0","","","","","https://www.manyavar.com/?","","",
"278","Manyavar","0","","","","","https://www.manyavar.com","","",
"279","Marks & Spencer","0","","","","","www.marksandspencer.com","","",
"280","Marks & Spencer","0","","","","","marksandspencerindia.com","","",
"281","Marks & Spencer","0","","","","","http://marksandspencerindia.com/","","",
"282","MAX","0","","","","","www.maxfashionindia.com","","",
"283","MAX","0","","","","","http://www.maxfashionindia.com/","","",
"284","Me n Moms","0","","","","","www.meemee.in","","",
"285","Meena Bazaar","0","","","","","meenabazaar.org","","",
"286","Men's Boulevard","0","","","","","","","",
"287","Menz Trendz","0","","","","","menstrendz.com","","",
"288","Metro","0","","","","","www.metroshoes.net","","",
"289","Metro","0","","","","","http://www.metroshoes.net/","","",
"290","Mia","0","","","","","www.mia.tanishq.co.in","","",
"291","Millionaire","0","","","","","www.millionairebombay.com/?","","",
"292","Millionaire","0","","","","","www.millionairebombay.com","","",
"293","Mineral","0","","","","","www.theminerallife.com","","",
"294","Mineral","0","","","","","http://www.theminerallife.com/","","",
"295","Mira Designs","0","","","","","miradesigns.in","","",
"296","Mochi","0","","","","","www.mochi.co.in","","",
"297","Mogra","0","","","","","","","",
"298","Mom & Me","0","","","","","www.momandme.in","","",
"299","Mothercare","0","","","","","www.mothercare.com","","",
"300","Mufti","0","","","","","www.mufti.in","","",
"301","Mustard","0","","","","","www.mustardfashion.com","","",
"302","Myo Thai Spa","0","","","","","www.myothaispa.com","","",
"303","Nail Spa","0","","","","","","","",
"304","Nalli Next","0","","","","","www.nallisilks.com","","",
"305","Naracamicie","0","","","","","www.naracamicie.com","","",
"306","Nautica","0","","","","","www.nautica.com","","",
"307","Neck Ties & More","0","","","","","www.necktiesandmoreonline.com","","",
"308","Neulife Store","0","","","","","www.neulife.in","","",
"309","Neutrogena","0","","","","","www.neutrogena.com","","",
"310","Nike","0","","","","","www.nike.com","","",
"311","Nike","0","","","","","http://www.nike.com/","","",
"312","Nine West","0","","","","","www.ninewest.com","","",
"313","Noi","0","","","","","http://www.noi.in/","","",
"314","Nyassa","0","","","","","www.nyassa.in","","",
"315","Om Art Gallery","0","","","","","www.omart.org","","",
"316","Omega","0","","","","","www.omegawatches.com","","",
"317","Only","0","","","","","http://only-india.com/","","",
"318","Only","0","","","","","only.com","","",
"319","Orra","0","","","","","www.orra.co.in","","",
"320","Osim","0","","","","","www.osim.com","","",
"321","Pantaloons","0","","","","","pantaloons.com","","",
"322","Pantaloons","0","","","","","www.pantaloons.com","","",
"323","Parcos","0","","","","","https://www.facebook.com/ParcosIndia","","",
"324","Park Avenue","0","","","","","www.parkavenue.co.in","","",
"325","Park Avenue","0","","","","","parkavenue.co.in","","",
"326","Park Avenue Women","0","","","","","http://www.parkavenue.co.in/","","",
"327","Parx","0","","","","","http://www.parx.co.in/","","",
"328","Patchouli","0","","","","","www.patchoulis.com","","",
"329","Paul & Shark","0","","","","","www.paulshark.it","","",
"330","Paul Smith","0","","","","","http://www.paulsmith.co.uk/uk-en/shop/","","",
"331","Pavers England","0","","","","","www.paversengland.com","","",
"332","Peora","0","","","","","www.peora.in","","",
"333","Peora","0","","","","","http://peora.in/","","",
"334","Pepe Jeans","0","","","","","www.pepejeans.com","","",
"335","Peter England","0","","","","","www.peterengland.com","","",
"336","Planet Sports","0","","","","","www.planetsportsonline.com","","",
"337","Prapti","0","","","","","www.praptifashions.com","","",
"338","Prima Gold","0","","","","","www.primagold.net","","",
"339","Proline","0","","","","","www.prolineindia.com","","",
"340","Promod","0","","","","","www.promod.eu","","",
"341","Provogue","0","","","","","www.provogue.com","","",
"342","Provogue","0","","","","","http://provogue.com","","",
"343","Puma","0","","","","","www.puma.com","","",
"344","Puma","0","","","","","http://www.puma.com/","","",
"345","Pure Gold","0","","","","","www.pugold.com","","",
"346","Pure Gold","0","","","","","www.pugold.com/in","","",
"347","Pure Gold","0","","","","","http://www.pugold.com/","","",
"348","Queue Up","0","","","","","","","",
"349","Quik Silver","0","","","","","www.quiksilver.com","","",
"350","Raiara","0","","","","","http://www.raiara.com/","","",
"351","RayBan","0","","","","","www.vivacitymalls.com","","",
"352","Raymond Made-to-Measure","0","","","","","www.raymond.in","","",
"353","Raymond Weil","0","","","","","www.raymond-weil.com","","",
"354","Red Tape","0","","","","","www.redtape.com","","",
"355","Reebok","0","","","","","www.reebok.com","","",
"356","Regal","0","","","","","http://www.theregalshoes.com/index.php/about-us","","",
"357","Reid & Taylor","0","","","","","www.sknl.co.in","","",
"358","Reliance Footprint","0","","","","","www.reliancefootprint.com","","",
"359","Reliance Jewels","0","","","","","www.reliancejewels.net","","",
"360","Reliance Trends","0","","","","","www.reliancetrendsblog.com","","",
"361","Rhysetta","0","","","","","www.rhysetta.com","","",
"362","Riddhies Photo funda","0","","","","","","","",
"363","Riot","0","","","","","http://www.riot.co.in/","","",
"364","Ritu Kumar","0","","","","","www.ritukumar.com","","",
"365","Rocia","0","","","","","https://www.facebook.com/rociashoes","","",
"366","Rohit Bal","0","","","","","www.rohitbal.com","","",
"367","Rosso Brunello","0","","","","","https://www.facebook.com/RossoBrunello","","",
"368","Ruff","0","","","","","http://www.ruff.in/","","",
"369","Rui","0","","","","","www.riu.com","","",
"370","Ruosh","0","","","","","ruosh.com","","",
"371","Sabai Foot Spa","0","","","","","www.sabaifootspa.com","","",
"372","Samsonite","0","","","","","www.samsonite.com","","",
"373","Samsonite","0","","","","","www.samsoniteindia.com","","",
"374","Samsonite Black Label","0","","","","","www.samsoniteindia.com","","",
"375","Satya Paul","0","","","","","www.satyapaul.com","","",
"376","Satya Paul Accessories","0","","","","","www.satyapaul.com","","",
"377","Satya Paul Signature","0","","","","","http://www.satyapaul.com/","","",
"378","Sepia","0","","","","","www.sepia.co.in","","",
"379","Seven East","0","","","","","https://www.facebook.com/pages/Seven-East/192171224139715","","",
"380","Shaze","0","","","","","http://shaze.in","","",
"381","Sheetal","0","","","","","www.sheetalindia.com","","",
"382","Shoe Xpress","0","","","","","","","",
"383","Shoppers Stop","0","","","","","www.shoppersstop.com","","",
"384","Sia","0","","","","","www.siajewellery.com","","",
"385","Simply Potatoes","0","","","","","www.simplypotatoes.in","","",
"386","Sisley","0","","","","","www.sisley.com","","",
"387","Skechers","0","","","","","www.skechers.com","","",
"388","Soch","0","","","","","www.sochstudio.com","","",
"389","Spencers","0","","","","","www.spencersretail.com","","",
"390","Splash Fashion 365","0","","","","","www.splashfashions.com","","",
"391","Splash Fashion 365","0","","","","","http://www.splashfashions.com/","","",
"392","Sport XS","0","","","","","http://www.sportxsindia.com/","","",
"393","Spykar","0","","","","","www.spykar.com","","",
"394","Stanza","0","","","","","www.stanzaworld.com","","",
"395","Steve Madden","0","","","","","www.stevemadden.in","","",
"396","StreetSoul","0","","","","","deepstreetsoul.com","","",
"397","Stuart Weitzman","0","","","","","www.stuartweitzman.com","","",
"398","Sukho Thai","0","","","","","http://www.sukhothai.in/","","",
"399","Sukho Thai","0","","","","","www.sukhothai.com","","",
"400","Sunglass Hut","0","","","","","www.sunglasshut.com","","",
"401","Sunglass Hut","0","","","","","www.sunglass.com","","",
"402","Sunglass Hut","0","","","","","http://www.sunglasshut.com/","","",
"403","Superdry","0","","","","","www.superdry.com","","",
"404","Swarovski","0","","","","","http://www.swarovski.com/","","",
"405","Swatch","0","","","","","www.swatch.com","","",
"406","Tanishq","0","","","","","tanishq.co.in","","",
"407","Tanishq","0","","","","","www.tanishq.co.in","","",
"408","Tara Jewellers","0","","","","","tarajewellers.in","","",
"409","The Body Shop","0","","","","","www.thebodyshop.in","","",
"410","The Collective","0","","","","","www.thecollective.in","","",
"411","The Nature's Co.","0","","","","","http://www.thenaturesco.com/","","",
"412","The Nature's Co.","0","","","","","www.thenaturesco.com","","",
"413","The Prime","0","","","","","http://theprime.in/index.html","","",
"414","The Raymond Shop","0","","","","","www.raymondindia.com","","",
"415","The Time Factory","0","","","","","http://www.timexindia.com/","","",
"416","Thomas Pink","0","","","","","www.thomaspink.com","","",
"417","Tie Rack","0","","","","","http://www.genesiscolors.com/TieRack","","",
"418","Timberland","0","","","","","www.timberland.com","","",
"419","Tip & Toe","0","","","","","http://www.tipsandtoes.net.in/","","",
"420","Tissot","0","","","","","www.tissot.ch","","",
"421","Titan Eye","0","","","","","www.titaneyeplus.com","","",
"422","Titan Studio","0","","","","","www.titanworld.com","","",
"423","Tomato","0","","","","","","","",
"424","Tomato Spinach","0","","","","","","","",
"425","Tommy Hilfiger","0","","","","","www.tommy.com","","",
"426","Tommy Hilfiger","0","","","","","www.tommyhilfiger.com","","",
"427","Tommy Hilfiger Childrens wear","0","","","","","www.tommy.com","","",
"428","Touristor","0","","","","","http://touristor.in/","","",
"429","Transforce","0","","","","","www.transforce.com","","",
"430","Tresmode","0","","","","","www.tresmode.com","","",
"431","Triumph","0","","","","","www.triumph.com","","",
"432","Tumi","0","","","","","www.tumi.com","","",
"433","Turtle","0","","","","","theturtles.com","","",
"434","Tvacha","0","","","","","http://www.tvacha.com/","","",
"435","U.S. Polo Assn","0","","","","","www.uspoloassn.com","","",
"436","U.S. Polo Kids","0","","","","","http://www.uspoloassn.com/","","",
"437","United Colors of Benetton","0","","","","","www.benetton.com","","",
"438","United Colors of Benetton Kids","0","","","","","http://www.benetton.com/","","",
"439","United Colors of Benetton Kids","0","","","","","www.benetton.com/kids/","","",
"440","Urban Yoga","0","","","","","www.urbanyoga.in","","",
"441","Urbana","0","","","","","www.urbana.in","","",
"442","Van Heusen","0","","","","","www.vanheusenindia.com","","",
"443","Vanilla Moon","0","","","","","www.vanillamoon.co.in","","",
"444","Vans","0","","","","","www.vans.com","","",
"445","Vero Moda","0","","","","","www.veromoda.com","","",
"446","Vero Moda","0","","","","","http://www.veromoda.com/","","",
"447","Viari","0","","","","","","","",
"448","Vision World","0","","","","","www.vwoptics.in","","",
"449","VLCC","0","","","","","www.vlccwellness.com","","",
"450","W","0","","","","","http://www.wforwoman.com/","","",
"451","W","0","","","","","www.wforwoman.com","","",
"452","Watches and More","0","","","","","www.watchesandmore.in","","",
"453","Westside","0","","","","","http://www.mywestside.com/","","",
"454","Westside","0","","","","","www.mywestside.com","","",
"455","Wildcraft","0","","","","","www.wildcraft.in","","",
"456","William Penn","0","","","","","http://williampenn.net","","",
"457","William Penn","0","","","","","https://www.williampenn.net","","",
"458","Wills Lifestyle","0","","","","","http://www.willslifestyle.com/","","",
"459","Wills Lifestyle","0","","","","","www.willslifestyle.com","","",
"460","Woodland","0","","","","","www.woodlandworldwide.com","","",
"461","Woodland","0","","","","","http://woodlandworldwide.com/","","",
"462","Woodland","0","","","","","woodlandworldwide.com","","",
"463","World Of Titan","0","","","","","www.titanworld.com","","",
"464","World Of Titan","0","","","","","http://titanworld.com/in/","","",
"465","Wrangler","0","","","","","www.wrangler.in","","",
"466","Wrangler","0","","","","","http://wrangler.in","","",
"467","Wrangler","0","","","","","www.wrangler.com","","",
"468","You Shine","0","","","","","http://www.youshine.in/","","",
"469","Zara","0","","","","","www.zara.com","","",
"470","Zingrin","0","","","","","https://www.facebook.com/pages/ZINGRIN/228673193874347","","",
"471","Zodiac","0","","","","","www.zodiaconline.com","","",
"472","Zodiac","0","","","","","www.zodiac.com","","",
"473","Zuni","0","","","","","www.zuni.in","","",
